Series Id,Year,Period,Value
CUSR0000SAH,2000,M01,166.5
CUSR0000SAH,2000,M02,167.3
CUSR0000SAH,2000,M03,167.7
CUSR0000SAH,2000,M04,167.9
CUSR0000SAH,2000,M05,168.3
CUSR0000SAH,2000,M06,169.2
CUSR0000SAH,2000,M07,169.9
CUSR0000SAH,2000,M08,170.2
CUSR0000SAH,2000,M09,171.1
CUSR0000SAH,2000,M10,171.8
CUSR0000SAH,2000,M11,172.2
CUSR0000SAH,2000,M12,172.8
CUSR0000SAH,2001,M01,174.5
CUSR0000SAH,2001,M02,174.9
CUSR0000SAH,2001,M03,175.3
CUSR0000SAH,2001,M04,175.4
CUSR0000SAH,2001,M05,176.1
CUSR0000SAH,2001,M06,176.8
CUSR0000SAH,2001,M07,176.8
CUSR0000SAH,2001,M08,177.1
CUSR0000SAH,2001,M09,177.0
CUSR0000SAH,2001,M10,176.9
CUSR0000SAH,2001,M11,177.5
CUSR0000SAH,2001,M12,177.9
CUSR0000SAH,2002,M01,178.3
CUSR0000SAH,2002,M02,178.7
CUSR0000SAH,2002,M03,179.0
CUSR0000SAH,2002,M04,179.5
CUSR0000SAH,2002,M05,179.8
CUSR0000SAH,2002,M06,180.0
CUSR0000SAH,2002,M07,180.2
CUSR0000SAH,2002,M08,180.7
CUSR0000SAH,2002,M09,181.1
CUSR0000SAH,2002,M10,181.5
CUSR0000SAH,2002,M11,182.0
CUSR0000SAH,2002,M12,182.3
CUSR0000SAH,2003,M01,182.9
CUSR0000SAH,2003,M02,183.4
CUSR0000SAH,2003,M03,184.2
CUSR0000SAH,2003,M04,184.0
CUSR0000SAH,2003,M05,184.6
CUSR0000SAH,2003,M06,184.6
CUSR0000SAH,2003,M07,184.9
CUSR0000SAH,2003,M08,185.2
CUSR0000SAH,2003,M09,185.5
CUSR0000SAH,2003,M10,185.9
CUSR0000SAH,2003,M11,186.0
CUSR0000SAH,2003,M12,186.4
CUSR0000SAH,2004,M01,186.9
CUSR0000SAH,2004,M02,187.1
CUSR0000SAH,2004,M03,187.7
CUSR0000SAH,2004,M04,188.3
CUSR0000SAH,2004,M05,188.9
CUSR0000SAH,2004,M06,189.5
CUSR0000SAH,2004,M07,189.9
CUSR0000SAH,2004,M08,190.3
CUSR0000SAH,2004,M09,190.8
CUSR0000SAH,2004,M10,191.2
CUSR0000SAH,2004,M11,191.8
CUSR0000SAH,2004,M12,192.1
CUSR0000SAH,2005,M01,192.3
CUSR0000SAH,2005,M02,193.0
CUSR0000SAH,2005,M03,193.9
CUSR0000SAH,2005,M04,194.3
CUSR0000SAH,2005,M05,194.6
CUSR0000SAH,2005,M06,194.6
CUSR0000SAH,2005,M07,195.4
CUSR0000SAH,2005,M08,195.9
CUSR0000SAH,2005,M09,196.8
CUSR0000SAH,2005,M10,198.7
CUSR0000SAH,2005,M11,199.5
CUSR0000SAH,2005,M12,199.6
CUSR0000SAH,2006,M01,200.5
CUSR0000SAH,2006,M02,200.8
CUSR0000SAH,2006,M03,201.2
CUSR0000SAH,2006,M04,201.6
CUSR0000SAH,2006,M05,202.3
CUSR0000SAH,2006,M06,202.8
CUSR0000SAH,2006,M07,203.4
CUSR0000SAH,2006,M08,204.1
CUSR0000SAH,2006,M09,204.7
CUSR0000SAH,2006,M10,204.8
CUSR0000SAH,2006,M11,205.5
CUSR0000SAH,2006,M12,206.2
CUSR0000SAH,2007,M01,206.788
CUSR0000SAH,2007,M02,207.536
CUSR0000SAH,2007,M03,208.119
CUSR0000SAH,2007,M04,208.518
CUSR0000SAH,2007,M05,208.883
CUSR0000SAH,2007,M06,209.561
CUSR0000SAH,2007,M07,209.743
CUSR0000SAH,2007,M08,210.004
CUSR0000SAH,2007,M09,210.5
CUSR0000SAH,2007,M10,211.057
CUSR0000SAH,2007,M11,211.864
CUSR0000SAH,2007,M12,212.418
CUSR0000SAH,2008,M01,212.873
CUSR0000SAH,2008,M02,213.377
CUSR0000SAH,2008,M03,214.422
CUSR0000SAH,2008,M04,214.997
CUSR0000SAH,2008,M05,215.866
CUSR0000SAH,2008,M06,216.864
CUSR0000SAH,2008,M07,218.014
CUSR0000SAH,2008,M08,218.053
CUSR0000SAH,2008,M09,217.836
CUSR0000SAH,2008,M10,217.705
CUSR0000SAH,2008,M11,217.585
CUSR0000SAH,2008,M12,217.469
CUSR0000SAH,2009,M01,217.631
CUSR0000SAH,2009,M02,217.563
CUSR0000SAH,2009,M03,217.458
CUSR0000SAH,2009,M04,217.304
CUSR0000SAH,2009,M05,216.99
CUSR0000SAH,2009,M06,216.955
CUSR0000SAH,2009,M07,216.581
CUSR0000SAH,2009,M08,216.729
CUSR0000SAH,2009,M09,216.68
CUSR0000SAH,2009,M10,216.942
CUSR0000SAH,2009,M11,216.962
CUSR0000SAH,2009,M12,216.899
CUSR0000SAH,2010,M01,216.206
CUSR0000SAH,2010,M02,216.042
CUSR0000SAH,2010,M03,216.146
CUSR0000SAH,2010,M04,216.092
CUSR0000SAH,2010,M05,216.128
CUSR0000SAH,2010,M06,216.06
CUSR0000SAH,2010,M07,216.214
CUSR0000SAH,2010,M08,216.254
CUSR0000SAH,2010,M09,216.234
CUSR0000SAH,2010,M10,216.359
CUSR0000SAH,2010,M11,216.484
CUSR0000SAH,2010,M12,216.823
CUSR0000SAH,2011,M01,217.061
CUSR0000SAH,2011,M02,217.443
CUSR0000SAH,2011,M03,217.794
CUSR0000SAH,2011,M04,218.186
CUSR0000SAH,2011,M05,218.521
CUSR0000SAH,2011,M06,218.808
CUSR0000SAH,2011,M07,219.386
CUSR0000SAH,2011,M08,219.802
CUSR0000SAH,2011,M09,220.152
CUSR0000SAH,2011,M10,220.447
CUSR0000SAH,2011,M11,220.685
CUSR0000SAH,2011,M12,220.966
CUSR0000SAH,2012,M01,221.096
CUSR0000SAH,2012,M02,221.299
CUSR0000SAH,2012,M03,221.579
CUSR0000SAH,2012,M04,221.992
CUSR0000SAH,2012,M05,222.069
CUSR0000SAH,2012,M06,222.319
CUSR0000SAH,2012,M07,222.508
CUSR0000SAH,2012,M08,223.031
CUSR0000SAH,2012,M09,223.463
CUSR0000SAH,2012,M10,223.949
CUSR0000SAH,2012,M11,224.504
CUSR0000SAH,2012,M12,224.757
CUSR0000SAH,2013,M01,225.106
CUSR0000SAH,2013,M02,225.58
CUSR0000SAH,2013,M03,225.769
CUSR0000SAH,2013,M04,226.299
CUSR0000SAH,2013,M05,226.949
CUSR0000SAH,2013,M06,227.324
CUSR0000SAH,2013,M07,227.579
CUSR0000SAH,2013,M08,227.911
CUSR0000SAH,2013,M09,228.354
CUSR0000SAH,2013,M10,228.584
CUSR0000SAH,2013,M11,229.119
CUSR0000SAH,2013,M12,229.623
CUSR0000SAH,2014,M01,230.52
CUSR0000SAH,2014,M02,231.084
CUSR0000SAH,2014,M03,232.119
CUSR0000SAH,2014,M04,232.014
CUSR0000SAH,2014,M05,232.785
CUSR0000SAH,2014,M06,233.117
CUSR0000SAH,2014,M07,233.695
CUSR0000SAH,2014,M08,233.928
CUSR0000SAH,2014,M09,234.234
CUSR0000SAH,2014,M10,234.656
CUSR0000SAH,2014,M11,235.0
CUSR0000SAH,2014,M12,235.425
CUSR0000SAH,2015,M01,235.735
CUSR0000SAH,2015,M02,236.2
CUSR0000SAH,2015,M03,236.602
CUSR0000SAH,2015,M04,237.086
CUSR0000SAH,2015,M05,237.21
CUSR0000SAH,2015,M06,237.804
CUSR0000SAH,2015,M07,238.334
CUSR0000SAH,2015,M08,238.7
CUSR0000SAH,2015,M09,239.236
CUSR0000SAH,2015,M10,239.593
CUSR0000SAH,2015,M11,240.001
CUSR0000SAH,2015,M12,240.224
CUSR0000SAH,2016,M01,240.673
CUSR0000SAH,2016,M02,241.124
CUSR0000SAH,2016,M03,241.587
CUSR0000SAH,2016,M04,242.071
CUSR0000SAH,2016,M05,242.833
CUSR0000SAH,2016,M06,243.515
CUSR0000SAH,2016,M07,244.224
CUSR0000SAH,2016,M08,244.911
CUSR0000SAH,2016,M09,245.755
CUSR0000SAH,2016,M10,246.48
CUSR0000SAH,2016,M11,246.985
CUSR0000SAH,2016,M12,247.543
CUSR0000SAH,2017,M01,248.164
CUSR0000SAH,2017,M02,248.807
CUSR0000SAH,2017,M03,249.098
CUSR0000SAH,2017,M04,249.8
CUSR0000SAH,2017,M05,250.408
CUSR0000SAH,2017,M06,250.933
CUSR0000SAH,2017,M07,251.21
CUSR0000SAH,2017,M08,252.086
CUSR0000SAH,2017,M09,252.603
CUSR0000SAH,2017,M10,253.292
CUSR0000SAH,2017,M11,253.798
CUSR0000SAH,2017,M12,254.575
CUSR0000SAH,2018,M01,255.098
CUSR0000SAH,2018,M02,255.798
CUSR0000SAH,2018,M03,256.469
CUSR0000SAH,2018,M04,257.174
CUSR0000SAH,2018,M05,257.876
CUSR0000SAH,2018,M06,258.034
CUSR0000SAH,2018,M07,258.615
CUSR0000SAH,2018,M08,259.405
CUSR0000SAH,2018,M09,259.628
CUSR0000SAH,2018,M10,260.436
CUSR0000SAH,2018,M11,261.085
CUSR0000SAH,2018,M12,262.113
CUSR0000SAH,2019,M01,262.525
CUSR0000SAH,2019,M02,263.131
CUSR0000SAH,2019,M03,263.955
CUSR0000SAH,2019,M04,264.605
CUSR0000SAH,2019,M05,265.111
CUSR0000SAH,2019,M06,265.823
CUSR0000SAH,2019,M07,266.44
CUSR0000SAH,2019,M08,266.809
CUSR0000SAH,2019,M09,267.555
CUSR0000SAH,2019,M10,267.95
CUSR0000SAH,2019,M11,268.488
CUSR0000SAH,2019,M12,268.938
CUSR0000SAH,2020,M01,269.752
CUSR0000SAH,2020,M02,270.354
CUSR0000SAH,2020,M03,270.345
CUSR0000SAH,2020,M04,270.303
CUSR0000SAH,2020,M05,270.825
CUSR0000SAH,2020,M06,271.256
CUSR0000SAH,2020,M07,271.835
CUSR0000SAH,2020,M08,272.479
CUSR0000SAH,2020,M09,272.897
CUSR0000SAH,2020,M10,273.127
CUSR0000SAH,2020,M11,273.78
CUSR0000SAH,2020,M12,274.336
CUSR0000SAH,2021,M01,274.582
CUSR0000SAH,2021,M02,275.181
CUSR0000SAH,2021,M03,276.125
CUSR0000SAH,2021,M04,277.364
CUSR0000SAH,2021,M05,278.65
CUSR0000SAH,2021,M06,279.75
CUSR0000SAH,2021,M07,280.9
CUSR0000SAH,2021,M08,281.979
CUSR0000SAH,2021,M09,283.532
CUSR0000SAH,2021,M10,285.453
CUSR0000SAH,2021,M11,286.849
CUSR0000SAH,2021,M12,288.259
CUSR0000SAH,2022,M01,290.151
CUSR0000SAH,2022,M02,291.549
CUSR0000SAH,2022,M03,293.668
CUSR0000SAH,2022,M04,295.376
CUSR0000SAH,2022,M05,297.881
CUSR0000SAH,2022,M06,300.29
CUSR0000SAH,2022,M07,301.639
CUSR0000SAH,2022,M08,304.109
CUSR0000SAH,2022,M09,306.323
